method,modality_set,k,n_samples,silhouette,calinski_harabasz,davies_bouldin,cluster_balance_score,consensus_stability,notes
early_fusion_kmeans,main5,2,364,0.05271537910516207,23.221826076803183,3.7674074932283093,0.7089201877934272,,round1_real_run
early_fusion_kmeans,main5,3,364,0.016137593475181577,18.271347994510503,3.794839745844575,0.8382352941176471,,round1_real_run
early_fusion_kmeans,main5,4,364,0.019006386082166316,14.96456600487742,4.152443863141938,0.7064220183486238,,round1_real_run
early_fusion_kmeans,main5,5,364,0.0084306500160735,12.258896993290463,4.618517119059613,0.504950495049505,,round1_real_run
early_fusion_kmeans,main5,6,364,0.0037367454052459025,10.852809796234476,4.370264335762751,0.2413793103448276,,round1_real_run
early_fusion_spectral,main5,2,364,0.04946670111013761,19.736163219796307,3.915958087186922,0.5041322314049587,,round1_real_run
early_fusion_spectral,main5,3,364,-0.02641013195605993,11.777733955275687,4.40142637319186,0.16017316017316016,,round1_real_run
early_fusion_spectral,main5,4,364,-0.022705840427291693,9.94714634098465,4.933209935348181,0.26618705035971224,,round1_real_run
early_fusion_spectral,main5,5,364,-0.02831339510306948,8.949645964875364,4.6669948385367706,0.21794871794871795,,round1_real_run
early_fusion_spectral,main5,6,364,-0.024397585952109554,7.730565926232197,4.423310141039056,0.06818181818181818,,round1_real_run
equal_weight_fusion,main5,2,364,-0.015359089703925166,0.9117616577080736,1.0257727750789745,0.0027548209366391185,,round1_real_run
equal_weight_fusion,main5,3,364,-0.015359089703925166,0.9117616577080736,1.0257727750789745,0.0027548209366391185,,round1_real_run
equal_weight_fusion,main5,4,364,-0.015359089703925166,0.9117616577080736,1.0257727750789745,0.0027548209366391185,,round1_real_run
equal_weight_fusion,main5,5,364,-0.015359089703925166,0.9117616577080736,1.0257727750789745,0.0027548209366391185,,round1_real_run
equal_weight_fusion,main5,6,364,-0.015359089703925166,0.9117616577080736,1.0257727750789745,0.0027548209366391185,,round1_real_run
