experiment_name,modality_set,k,overall_rank,overall_score,notes
weight_full,main5,3,1,1.4398339311377089,weight_component_ablation
weight_only_Q,main5,6,2,1.4398339311377089,weight_component_ablation
weight_only_Q,main5,3,3,1.4398339311377089,weight_component_ablation
weight_no_M,main5,4,4,1.4398339311377089,weight_component_ablation
weight_no_S,main5,4,5,1.4398339311377089,weight_component_ablation
proposed_weighted_fusion_full,main5,3,6,1.4398339311377089,method_ablation
weight_no_C,main5,5,7,1.4398339311377089,weight_component_ablation
proposed_weighted_fusion_full,main5,5,8,1.4398339311377089,method_ablation
weight_full,main5,5,9,1.4398339311377089,weight_component_ablation
drop_rna,main5_minus_rna,6,10,1.4339710139758564,modality_ablation
drop_rna,main5_minus_rna,3,11,1.4339710139758564,modality_ablation
drop_methylation,main5_minus_methylation,3,12,1.4286954491154324,modality_ablation
drop_methylation,main5_minus_methylation,6,13,1.4286954491154324,modality_ablation
drop_mirna,main5_minus_mirna,5,14,1.4109897327352898,modality_ablation
early_fusion_kmeans,main5,2,15,0.96195853653967,method_ablation
early_fusion_kmeans,main5,3,16,0.8617134760928657,method_ablation
early_fusion_kmeans,main5,4,17,0.7576725544971964,method_ablation
early_fusion_kmeans,main5,5,18,0.5942477815046547,method_ablation
early_fusion_spectral,main5,2,19,0.5556914936800993,method_ablation
early_fusion_spectral,main5,3,20,0.49432057418855985,method_ablation
drop_mirna,main5_minus_mirna,4,21,0.48454479206994894,modality_ablation
early_fusion_kmeans,main5,6,22,0.46410912696182494,method_ablation
early_fusion_spectral,main5,5,23,0.40345004900748904,method_ablation
early_fusion_spectral,main5,4,24,0.3793179578947128,method_ablation
early_fusion_spectral,main5,6,25,0.2938620976916719,method_ablation
drop_mutation,main5_minus_mutation,2,26,0.1313561292092387,modality_ablation
drop_mirna,main5_minus_mirna,6,27,0.11431916228504785,modality_ablation
equal_weight_fusion,main5,2,28,0.08964191315643857,method_ablation
equal_weight_fusion,main5,6,29,0.08931383695257017,method_ablation
equal_weight_fusion,main5,3,30,0.0892837443765615,method_ablation
equal_weight_fusion,main5,4,31,0.08923016627180817,method_ablation
equal_weight_fusion,main5,5,32,0.08914468890132482,method_ablation
weight_no_C,main5,4,33,0.08857795389703396,weight_component_ablation
weight_no_C,main5,3,34,0.08857795389703396,weight_component_ablation
weight_no_C,main5,2,35,0.08857795389703396,weight_component_ablation
proposed_weighted_fusion_full,main5,6,36,0.08857795389703396,method_ablation
weight_no_S,main5,5,37,0.08857795389703396,weight_component_ablation
weight_no_C,main5,6,38,0.08857795389703396,weight_component_ablation
proposed_weighted_fusion_full,main5,2,39,0.08857795389703396,method_ablation
proposed_weighted_fusion_full,main5,4,40,0.08857795389703396,method_ablation
weight_only_Q,main5,5,41,0.08857795389703396,weight_component_ablation
weight_only_Q,main5,4,42,0.08857795389703396,weight_component_ablation
weight_no_M,main5,6,43,0.08857795389703396,weight_component_ablation
weight_only_Q,main5,2,44,0.08857795389703396,weight_component_ablation
weight_no_M,main5,5,45,0.08857795389703396,weight_component_ablation
weight_no_S,main5,6,46,0.08857795389703396,weight_component_ablation
weight_no_M,main5,2,47,0.08857795389703396,weight_component_ablation
weight_no_M,main5,3,48,0.08857795389703396,weight_component_ablation
weight_no_S,main5,3,49,0.08857795389703396,weight_component_ablation
weight_no_S,main5,2,50,0.08857795389703396,weight_component_ablation
weight_full,main5,4,51,0.08857795389703396,weight_component_ablation
weight_full,main5,2,52,0.08857795389703396,weight_component_ablation
weight_full,main5,6,53,0.08857795389703396,weight_component_ablation
drop_methylation,main5_minus_methylation,4,54,0.08105724950457549,modality_ablation
drop_methylation,main5_minus_methylation,2,55,0.08105724950457549,modality_ablation
drop_methylation,main5_minus_methylation,5,56,0.08105724950457549,modality_ablation
drop_rna,main5_minus_rna,2,57,0.07958016916578378,modality_ablation
drop_rna,main5_minus_rna,5,58,0.07958016916578378,modality_ablation
drop_rna,main5_minus_rna,4,59,0.07958016916578378,modality_ablation
drop_mutation,main5_minus_mutation,3,60,0.06623139765931864,modality_ablation
drop_cnv,main5_minus_cnv,3,61,0.04005209138234661,modality_ablation
drop_cnv,main5_minus_cnv,6,62,0.04005209138234661,modality_ablation
drop_cnv,main5_minus_cnv,4,63,0.04005209138234661,modality_ablation
drop_mutation,main5_minus_mutation,4,64,0.03832194760659692,modality_ablation
drop_cnv,main5_minus_cnv,2,65,0.032380859216918745,modality_ablation
drop_mutation,main5_minus_mutation,5,66,0.025015738550861897,modality_ablation
drop_cnv,main5_minus_cnv,5,67,0.021862980607451243,modality_ablation
drop_mutation,main5_minus_mutation,6,68,0.020320799596192367,modality_ablation
drop_mirna,main5_minus_mirna,3,69,0.007870265969097193,modality_ablation
drop_mirna,main5_minus_mirna,2,70,0.007870265969097193,modality_ablation
partial_fusion_complete_intersection,main5_complete_intersection,0,71,0.0,partial_fusion_interface_not_fully_available_in_current_codebase
partial_fusion_partial_coverage,main5_partial_coverage,0,72,0.0,partial_fusion_interface_not_fully_available_in_current_codebase
